[96/200] - ptime: 9.08, loss_D_A: 0.098, loss_D_B: 0.103, loss_G_A: 0.645, loss_G_B: 0.701, loss_A_cycle: 1.781, loss_B_cycle: 1.581
[97/200] - ptime: 14.52, loss_D_A: 0.103, loss_D_B: 0.094, loss_G_A: 0.660, loss_G_B: 0.667, loss_A_cycle: 1.796, loss_B_cycle: 1.588
[98/200] - ptime: 8.96, loss_D_A: 0.087, loss_D_B: 0.080, loss_G_A: 0.681, loss_G_B: 0.719, loss_A_cycle: 1.743, loss_B_cycle: 1.560
[99/200] - ptime: 12.25, loss_D_A: 0.084, loss_D_B: 0.096, loss_G_A: 0.646, loss_G_B: 0.608, loss_A_cycle: 1.792, loss_B_cycle: 1.561
[100/200] - ptime: 9.34, loss_D_A: 0.090, loss_D_B: 0.091, loss_G_A: 0.732, loss_G_B: 0.659, loss_A_cycle: 1.899, loss_B_cycle: 1.585
[101/200] - ptime: 9.06, loss_D_A: 0.071, loss_D_B: 0.099, loss_G_A: 0.742, loss_G_B: 0.670, loss_A_cycle: 1.756, loss_B_cycle: 1.544
[102/200] - ptime: 8.92, loss_D_A: 0.093, loss_D_B: 0.108, loss_G_A: 0.705, loss_G_B: 0.575, loss_A_cycle: 1.764, loss_B_cycle: 1.524
[103/200] - ptime: 9.17, loss_D_A: 0.065, loss_D_B: 0.099, loss_G_A: 0.719, loss_G_B: 0.658, loss_A_cycle: 1.733, loss_B_cycle: 1.502
[104/200] - ptime: 12.43, loss_D_A: 0.085, loss_D_B: 0.095, loss_G_A: 0.702, loss_G_B: 0.655, loss_A_cycle: 1.723, loss_B_cycle: 1.626
[105/200] - ptime: 11.61, loss_D_A: 0.104, loss_D_B: 0.066, loss_G_A: 0.685, loss_G_B: 0.733, loss_A_cycle: 1.871, loss_B_cycle: 1.655
[106/200] - ptime: 12.50, loss_D_A: 0.097, loss_D_B: 0.064, loss_G_A: 0.716, loss_G_B: 0.726, loss_A_cycle: 1.757, loss_B_cycle: 1.560
[107/200] - ptime: 12.46, loss_D_A: 0.076, loss_D_B: 0.077, loss_G_A: 0.698, loss_G_B: 0.751, loss_A_cycle: 1.716, loss_B_cycle: 1.552
[108/200] - ptime: 9.02, loss_D_A: 0.103, loss_D_B: 0.076, loss_G_A: 0.653, loss_G_B: 0.664, loss_A_cycle: 1.761, loss_B_cycle: 1.517
[109/200] - ptime: 8.98, loss_D_A: 0.089, loss_D_B: 0.106, loss_G_A: 0.682, loss_G_B: 0.704, loss_A_cycle: 1.706, loss_B_cycle: 1.515
[110/200] - ptime: 9.38, loss_D_A: 0.078, loss_D_B: 0.085, loss_G_A: 0.698, loss_G_B: 0.691, loss_A_cycle: 1.773, loss_B_cycle: 1.546
[111/200] - ptime: 9.23, loss_D_A: 0.068, loss_D_B: 0.075, loss_G_A: 0.703, loss_G_B: 0.765, loss_A_cycle: 1.912, loss_B_cycle: 1.616
[112/200] - ptime: 9.90, loss_D_A: 0.096, loss_D_B: 0.064, loss_G_A: 0.679, loss_G_B: 0.774, loss_A_cycle: 1.702, loss_B_cycle: 1.472
[113/200] - ptime: 13.57, loss_D_A: 0.085, loss_D_B: 0.096, loss_G_A: 0.702, loss_G_B: 0.673, loss_A_cycle: 1.729, loss_B_cycle: 1.476
[114/200] - ptime: 13.12, loss_D_A: 0.084, loss_D_B: 0.092, loss_G_A: 0.622, loss_G_B: 0.659, loss_A_cycle: 1.828, loss_B_cycle: 1.485
[115/200] - ptime: 9.36, loss_D_A: 0.083, loss_D_B: 0.083, loss_G_A: 0.666, loss_G_B: 0.612, loss_A_cycle: 1.769, loss_B_cycle: 1.522
[116/200] - ptime: 9.13, loss_D_A: 0.079, loss_D_B: 0.099, loss_G_A: 0.708, loss_G_B: 0.637, loss_A_cycle: 1.724, loss_B_cycle: 1.491
[117/200] - ptime: 9.31, loss_D_A: 0.089, loss_D_B: 0.099, loss_G_A: 0.626, loss_G_B: 0.693, loss_A_cycle: 1.682, loss_B_cycle: 1.483
[118/200] - ptime: 13.13, loss_D_A: 0.077, loss_D_B: 0.100, loss_G_A: 0.668, loss_G_B: 0.643, loss_A_cycle: 1.745, loss_B_cycle: 1.431
[119/200] - ptime: 11.97, loss_D_A: 0.083, loss_D_B: 0.116, loss_G_A: 0.713, loss_G_B: 0.647, loss_A_cycle: 1.801, loss_B_cycle: 1.413
[120/200] - ptime: 12.22, loss_D_A: 0.104, loss_D_B: 0.093, loss_G_A: 0.632, loss_G_B: 0.632, loss_A_cycle: 1.744, loss_B_cycle: 1.421
[121/200] - ptime: 9.08, loss_D_A: 0.095, loss_D_B: 0.096, loss_G_A: 0.663, loss_G_B: 0.608, loss_A_cycle: 1.729, loss_B_cycle: 1.482
[122/200] - ptime: 10.32, loss_D_A: 0.090, loss_D_B: 0.086, loss_G_A: 0.706, loss_G_B: 0.701, loss_A_cycle: 1.706, loss_B_cycle: 1.445
[123/200] - ptime: 9.27, loss_D_A: 0.086, loss_D_B: 0.093, loss_G_A: 0.642, loss_G_B: 0.600, loss_A_cycle: 1.704, loss_B_cycle: 1.411
[124/200] - ptime: 9.18, loss_D_A: 0.100, loss_D_B: 0.090, loss_G_A: 0.644, loss_G_B: 0.644, loss_A_cycle: 1.783, loss_B_cycle: 1.387
[125/200] - ptime: 9.29, loss_D_A: 0.096, loss_D_B: 0.100, loss_G_A: 0.739, loss_G_B: 0.675, loss_A_cycle: 2.072, loss_B_cycle: 2.063
[126/200] - ptime: 9.13, loss_D_A: 0.086, loss_D_B: 0.072, loss_G_A: 0.675, loss_G_B: 0.709, loss_A_cycle: 1.864, loss_B_cycle: 1.975
[127/200] - ptime: 10.76, loss_D_A: 0.064, loss_D_B: 0.088, loss_G_A: 0.737, loss_G_B: 0.665, loss_A_cycle: 1.830, loss_B_cycle: 1.672
[128/200] - ptime: 15.63, loss_D_A: 0.075, loss_D_B: 0.081, loss_G_A: 0.729, loss_G_B: 0.709, loss_A_cycle: 1.737, loss_B_cycle: 1.654
[129/200] - ptime: 9.26, loss_D_A: 0.062, loss_D_B: 0.095, loss_G_A: 0.688, loss_G_B: 0.656, loss_A_cycle: 1.741, loss_B_cycle: 1.567
[130/200] - ptime: 8.86, loss_D_A: 0.064, loss_D_B: 0.090, loss_G_A: 0.737, loss_G_B: 0.625, loss_A_cycle: 1.964, loss_B_cycle: 1.972
[131/200] - ptime: 8.88, loss_D_A: 0.064, loss_D_B: 0.073, loss_G_A: 0.729, loss_G_B: 0.674, loss_A_cycle: 1.824, loss_B_cycle: 1.629
[132/200] - ptime: 9.10, loss_D_A: 0.060, loss_D_B: 0.084, loss_G_A: 0.774, loss_G_B: 0.666, loss_A_cycle: 1.832, loss_B_cycle: 1.558
[133/200] - ptime: 29.38, loss_D_A: 0.063, loss_D_B: 0.102, loss_G_A: 0.768, loss_G_B: 0.643, loss_A_cycle: 1.785, loss_B_cycle: 1.560
[134/200] - ptime: 36.27, loss_D_A: 0.066, loss_D_B: 0.096, loss_G_A: 0.799, loss_G_B: 0.638, loss_A_cycle: 1.754, loss_B_cycle: 1.486
[135/200] - ptime: 38.49, loss_D_A: 0.054, loss_D_B: 0.090, loss_G_A: 0.779, loss_G_B: 0.679, loss_A_cycle: 1.718, loss_B_cycle: 1.447
